h2,sim_id,trait,causal_snp,p_default,p_modified,detected_default,detected_modified,log10p_default,log10p_modified,log10p_ratio
0,1,Trait_null_sim_1,I:62576,0.882442835217073,0.362459365124007,FALSE,FALSE,0.0543134186924283,0.440740674587056,8.11476583867659
0,2,Trait_null_sim_2,I:565394,0.769923211358064,0.601088013967013,FALSE,FALSE,0.113552587225496,0.221061932021212,1.94678023127927
0,3,Trait_null_sim_3,I:614095,0.458293732571754,0.333567767673991,FALSE,FALSE,0.338856081939404,0.476815921456436,1.40713402199374
0,4,Trait_null_sim_4,I:638641,0.709106292783586,0.699222918999454,FALSE,FALSE,0.149288660572352,0.155384344916183,1.0408315294709
0,5,Trait_null_sim_5,I:680197,0.00928637361199624,0.117796046554397,TRUE,FALSE,2.03215384766055,0.92886928500241,0.457086104022951
0,6,Trait_null_sim_6,I:756171,0.204756531254263,0.241789321166103,FALSE,FALSE,0.688762236368778,0.61656288404203,0.895175216476167
0,7,Trait_null_sim_7,I:781875,0.597299078361166,0.0804862984468942,FALSE,FALSE,0.223808155373418,1.0942780452889,4.88935733134088
0,8,Trait_null_sim_8,I:840826,0.496047705072477,0.965452452212703,FALSE,FALSE,0.304476555256833,0.0152691100255844,0.0501487216731829
0,9,Trait_null_sim_9,I:884224,0.864715984338282,0.817995892189058,FALSE,FALSE,0.0631265129848823,0.0872488772627899,1.38212730495164
0,10,Trait_null_sim_10,I:996230,0.132266737822453,0.239632155533874,FALSE,FALSE,0.878549357599237,0.620454905673698,0.706226577148927
0,11,Trait_null_sim_11,I:1038867,0.505254645580627,0.226072696360621,FALSE,FALSE,0.296489684659256,0.645751885845466,2.17799107104722
0,12,Trait_null_sim_12,I:1149835,0.635080403736365,0.829569726269186,FALSE,FALSE,0.197171287797004,0.0811471051654689,0.411556398865809
0,13,Trait_null_sim_13,I:1171021,0.361243575957601,0.681341249231421,FALSE,FALSE,0.44219986728307,0.16663531754629,0.376832581543089
0,14,Trait_null_sim_14,I:1229353,0.791437176274336,0.204465500352525,FALSE,FALSE,0.101583553423548,0.689379960373036,6.78633437342653
0,15,Trait_null_sim_15,I:1229842,0.368022977679673,0.452407341897576,FALSE,FALSE,0.434125065109205,0.344470355736566,0.793481840653255
0,16,Trait_null_sim_16,I:1235968,0.667494279274791,0.556416631978623,FALSE,FALSE,0.17555245204584,0.254599896888864,1.45027821555226
0,17,Trait_null_sim_17,I:1255890,0.553231675525456,0.409732465922597,FALSE,FALSE,0.257092962127275,0.387499622543299,1.5072354347509
0,18,Trait_null_sim_18,I:1336302,0.889598191106864,0.532954949315128,FALSE,FALSE,0.0508061088477935,0.273309500336933,5.37946137846774
0,19,Trait_null_sim_19,I:1345095,0.875432862473513,0.95589262453802,FALSE,FALSE,0.057777154635139,0.0195908893030328,0.339076741088215
0,20,Trait_null_sim_20,I:1415661,0.918389150691993,0.303494131278582,FALSE,FALSE,0.0369732554147763,0.517849702539202,14.0060618609268
